t: 8.91495
nCells: 20x20, dx: 0.1, dx: 0.1
u (21x22):
             8|       -0.0126       0.01255       0.02071       0.02256       0.02269       0.02244        0.0221       0.02172       0.02129       0.02073       0.01993       0.01864       0.01648       0.01287       0.00695     -0.002303      -0.01598      -0.03482      -0.05846      -0.08033      -0.07304       0.07243
             7|      -0.01097       0.01093       0.01796       0.01956       0.01966        0.0194       0.01902       0.01853        0.0179       0.01704        0.0158       0.01397       0.01122      0.007086     0.0009974      -0.00765      -0.01921      -0.03338      -0.04826      -0.05784      -0.04441       0.04423
             6|     -0.009373      0.009337       0.01529       0.01665       0.01671       0.01645       0.01604       0.01548       0.01474       0.01371       0.01227       0.01023      0.007342      0.003287     -0.002265     -0.009595       -0.0187      -0.02891      -0.03824      -0.04195      -0.02885       0.02883
             5|     -0.007807      0.007778       0.01271       0.01383       0.01386        0.0136        0.0132       0.01263       0.01186        0.0108      0.009341      0.007342      0.004627      0.001004     -0.003699     -0.009546      -0.01637       -0.0235      -0.02935      -0.03062      -0.02009       0.02012
             4|      -0.00627      0.006246        0.0102        0.0111       0.01112       0.01088       0.01051      0.009982      0.009261      0.008279      0.006948      0.005165      0.002817    -0.0002034     -0.003961     -0.008422      -0.01337      -0.01825      -0.02197       -0.0223      -0.01441       0.01444
             3|     -0.004758       0.00474      0.007765      0.008456      0.008466      0.008274      0.007966      0.007529      0.006926      0.006106      0.005004       0.00355      0.001674    -0.0006759     -0.003511     -0.006762      -0.01023      -0.01352      -0.01589      -0.01589      -0.01021       0.01024
             2|     -0.003274      0.003262      0.005394      0.005893      0.005907      0.005775      0.005559      0.005246      0.004809      0.004209      0.003404      0.002346     0.0009955    -0.0006732     -0.002649     -0.004864     -0.007171     -0.009298      -0.01077      -0.01068     -0.006834      0.006852
             1|      -0.00185      0.001844      0.003131      0.003446      0.003465        0.0034      0.003286      0.003115      0.002867      0.002519      0.002043      0.001411     0.0005997    -0.0004026     -0.001586     -0.002905     -0.004262     -0.005498      -0.00634     -0.006253     -0.003956      0.003966
             0|    -0.0006248     0.0006244       0.00115      0.001284        0.0013      0.001288      0.001261      0.001214      0.001137      0.001021      0.000851     0.0006161     0.0003057    -8.573e-05    -0.0005604     -0.001098     -0.001657     -0.002169     -0.002519     -0.002478     -0.001509      0.001511
            -1|             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0

rhs (22x22):
              |            -1             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
            20|             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
            19|             0        0.9545       -0.5218       -0.2013         -0.12      -0.08924      -0.07289      -0.06347      -0.05726      -0.05433      -0.05426      -0.05725      -0.06312      -0.06935      -0.05799      0.007045        0.2829        0.5685        0.7916        -1.055        -12.11             0
            18|             0       -0.2125        0.1521        0.1243       0.09018       0.06854       0.05732       0.04084       0.03191       0.02189        0.0107     -0.003315       -0.0217      -0.04246      -0.04827      0.005207        0.2181         1.114         2.394         2.582        -1.837             0
